Title,Time,Servings,Ingredients,Instructions,Image
The ultimate Christmas roast beef,120,8 serving(s),"['225g/8oz plain flour', '8 free-range eggs', '600ml/20fl oz milk', 'sea salt and freshly ground black pepper', '1 cauliflower, cut into large florets', '300g/10½oz French beans, trimmed', '1 broccoli, cut into large florets', '8 carrots, peeled and cut into batons', '2.75kg/6lb 2oz whole beef sirloin, fat and sinew trimmed', '250g/9oz beef dripping or lard', '200ml/7fl oz red wine', '1 litre/1¾ pints beef stock', '2kg/4lb 8oz large floury potatoes such as King Edward, each peeled and cut into 2 or 3 pieces', '200g/7oz smoked streaky bacon slices, cut into lardons', '500g/1lb 2oz Brussels sprouts, trimmed and finely shredded', '250g/9oz cooked chestnuts, roughly chopped', '175g/6oz butter']","First prepare the Yorkshire pudding batter. Pour the flour into a large mixing bowl. Make a well in the centre, then whisk in the eggs one at a time, bringing in the flour from the insides of the well as you do so.
Gradually whisk in the milk until the batter is smooth and well combined. Season with salt and pepper, then cover the bowl and chill in the fridge overnight.
You can also prepare the vegetables a day in advance. Bring a large pan of salted water to the boil. Prepare a large bowl of iced water. Add the cauliflower florets to the boiling water and boil for 4-5 minutes, or until perfectly tender. Remove from the pan using a slotted spoon and plunge into the bowl of iced water. Set aside until the florets have cooled (this will prevent them from continuing to cook). Drain, transfer to a roasting tray and set aside.
Repeat the process with the French beans, simmering them for just 2-3 minutes. Add the drained, cooled beans to the tray.
Repeat the process with the broccoli florets, simmering them for 1-2 minutes. Add the drained, cooled broccoli to the tray.
Repeat the process with the carrot batons, simmering them for 6-7 minutes. Add the drained, cooled carrot to the tray.
This will ensure you have all the vegetables prepared and perfectly cooked ready to reheat on the day. Chill all of the vegetables, covered, in the roasting tray (or in a re-sealable food bag or plastic container) until needed.
On Christmas Day, prepare the beef. Preheat the oven to 200C/180C Fan/Gas 6.
Score the fat of the beef in a criss-cross pattern using a sharp knife, then season the beef generously with salt and pepper.
Heat a frying pan over a high heat. When the pan is very hot, add 25g/1oz of the beef dripping and, when it has melted, fry the beef on all sides until browned all over.
Place the beef joint, fat side facing downwards, into a roasting tray and roast for 45-50 minutes (for medium-rare) or longer until cooked to your liking – although bear in mind that the meat will continue to cook as it rests. Turn the beef joint halfway through the cooking time. When the beef is cooked to your liking, transfer it to a large plate, cover with aluminium foil and set aside to rest for 30 minutes.
Meanwhile for the gravy, return the frying pan containing the meat juices to a medium heat and, when it is hot, add the wine. Bring the mixture to a simmer and continue to simmer until the volume of liquid has reduced by half.
Add the beef stock and return the mixture to a simmer, simmering until the volume of liquid has reduced by one-third, then season with salt and pepper. Strain the gravy into a jug or gravy boat. Cover and keep warm until needed (you may need to reheat it before serving).
Next, make the roast potatoes. Place the potatoes into a large saucepan, cover with cold water, add a pinch of salt and bring to the boil. Reduce the heat until the water is simmering and simmer the potatoes for 3-4 minutes. Drain the potatoes using a colander and shake them around a little in the colander to roughen the edges. Set aside.
When the beef has only 35 minutes left to cook, put 100g/3½oz of the remaining beef dripping or lard into a deep-sided roasting tray. Heat the fat in the oven for 5 minutes, or until smoking hot.
Carefully add the cooked, drained potatoes to the hot fat, making sure you keep your face as far away from the roasting tray as possible in case the fat spits. Season the potatoes with sea salt, then return the roasting tray to the oven. Roast the potatoes with the beef for 30 minutes, or until they are starting to turn golden-brown and crisp.
Turn the potatoes over after you remove the beef from the oven, then increase the oven temperature to 220C/200C Fan/Gas 7 and roast the potatoes for a further 30 minutes.
As soon as you have turned the potatoes over, divide 100g/3¾oz of the remaining dripping or lard equally among the holes of two 12-hole muffin tins or Yorkshire pudding tins. Heat the fat in the oven for 10 minutes, or until smoking hot.
Meanwhile, transfer the Yorkshire pudding batter to a jug. Carefully pour the Yorkshire pudding batter into the tins, filling each hole two-thirds full. Bake the Yorkshire puddings in the oven with the roast potatoes for the final 20 minutes that the potatoes should have left to cook, making sure you do not reopen the oven door.
After 20 minutes, open the oven door slightly to allow any steam to escape. Remove the potatoes, which should be ready now (prick them with a sharp knife to check they are tender in the middle). Transfer to a serving dish and keep warm.
Reduce the oven temperature to 190C/170C Fan/Gas 5. Continue to cook the Yorkshire puddings at this temperature for a further 12-15 minutes, or until crisp, risen and golden-brown. Transfer to a serving dish and keep warm.
For the Brussels sprouts, heat the remaining dripping or lard in a large frying pan over a medium heat. Add the bacon and fry for 3-4 minutes, or until crisp and golden-brown.
Add the sprouts and stir-fry for 2-3 minutes, or until just wilted. Add the chopped chestnuts, half of the butter and 2 tablespoons of water, then stir-fry until the chestnuts have heated through and the liquid has evaporated. Season with salt and pepper. Remove from the heat and keep warm.
Finally, bring a large saucepan of salted water to the boil, add all of the blanched vegetables and simmer for 30 seconds, or until heated through. Drain well and transfer to a serving platter, dotted with the remaining butter.
Serve the beef on a platter, surrounded by the roast potatoes on one side and the Brussels sprouts on the other. Serve the vegetables on a separate platter and the sauce in a gravy boat.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/the_ultimate_christmas_34876_16x9.jpg
Beef Wellington,120,8 serving(s),"['1.3kg/2lb 14oz middle-cut fillet of beef', '1 tbsp oil', '1½ x 375g packets all-butter puff pastry', 'plain flour, for dusting', '1 egg, beaten with a dash of milk', 'salt and freshly ground black pepper', 'large knob of butter', '350g/12oz mixed mushrooms (such as button, chestnut, wild), thinly sliced', '50g/1¾oz Parmesan, finely grated', '1 tbsp finely chopped tarragon', '2 tsp Dijon mustard', '1 egg yolk', 'small knob of butter', '100g/3½oz button mushrooms, finely sliced', '1 tbsp plain flour', '400ml/14fl oz full-fat crème fraîche', '1 tbsp Dijon mustard', '1 tbsp freshly chopped tarragon', 'a pinch sugar']","Preheat the oven to 220C/200C Fan/Gas 7.
Season the beef with salt and pepper. Place a large frying pan over a high heat, add the oil and fry the beef on all sides until browned. Transfer to a baking tray and roast in the oven for 15–18 minutes. Turn the oven off and remove the beef. Leave to cool, reserving any cooking juices, and then chill in the fridge for at least 1 hour (see tip).
Next make the topping. Melt the butter in the same pan and fry the mushrooms over a high heat for 5–10 minutes – you may need to do this in batches. Tip the mushrooms into a sieve set over a bowl to collect the juices and reserve these for the sauce. Transfer the mushrooms to another bowl and allow to cool before mixing with the Parmesan, tarragon, mustard and egg yolk. Season with salt and pepper and chill in the fridge for 30 minutes.
Line a baking sheet with baking paper. Sit the single 375g packet of pastry on a floured work surface and roll out to a square about 40cm/16in in size, then transfer it to the baking sheet. Place the cooked beef to one side of the pastry and spoon the mushroom mixture on top. Fold over the ends of the pastry and then fold the longest edge over the beef, sealing along the side with a little of the egg wash. Chill in the fridge for 30 minutes. While it is chilling, preheat the oven again to 220C/200C Fan/Gas 7.
Brush the top of the chilled beef Wellington with egg wash. Roll out the remaining half block of pastry and cut into 8 thin strips: lay 4 strips diagonally, and evenly spaced, across the top of the beef Wellington, and 4 strips across these to create a lattice pattern. Brush the lattice with egg wash and then roast in the oven for 30–35 minutes or until the pastry is golden-brown and crisp.
Meanwhile, make the tarragon sauce. Melt the butter in the same frying pan and fry the mushrooms over a high heat for 5–10 minutes or until the juices evaporate. Sprinkle in the flour and add the crème fraîche with the reserved mushroom juices (from the topping), the mustard and tarragon. Season with salt, pepper and sugar and bring to the boil, stirring. Simmer for 3 minutes until reduced slightly and add any beef juices from the original baking tray. Keep hot.
Allow the beef Wellington to rest, covered with foil, for 15 minutes before carving. Slice into thick slices and serve with the hot tarragon sauce.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/beef_wellington_with_35577_16x9.jpg
Roast pork belly with apple bread sauce and rib gravy,150,6 serving(s),"['1.8kg/4lb pork belly', '4 tbsp sea salt flakes', '3 tbsp olive oil', '4 large pork ribs', '2 onions, roughly chopped', '2 carrots, roughly chopped', '1 litre/1¾ pints chicken stock', '8 black peppercorns', '2 fresh bay leaves', '6 sprigs fresh thyme', '1 litre/1¾ pints milk', '½ onion, skin left on', '5 cloves', ""2 eating apples, preferably Cox's Orange Pippin"", '1 cinnamon stick', '250g/9oz fresh breadcrumbs', '75g/2¾oz butter', '3 tsp ground cinnamon']","Preheat the oven to 230C/210C fan/Gas 8.
For the roast pork belly, put the pork belly in a roasting tray, skin-side up. Thoroughly pat it dry with kitchen paper, then rub sea salt all over the skin. Set aside for 20 minutes.
Roast the pork belly for 30 minutes, then reduce the oven temperature to 160C/140C fan/Gas 3 and continue to cook for a further 1½ hours. When cooked, set the pork aside to rest in a warm place.
Meanwhile, for the rib gravy, heat the oil in large saucepan over a medium heat. Add the pork ribs and fry for 3-4 minutes on each side, turning them regularly until they have caramelised all over. Remove from the pan and set aside.
Add the onions and carrots to the pan, then pour over the stock. Bring to the boil, scraping any burned bits up from the bottom of the pan using a wooden spoon.
Return the browned pork ribs to the pan, then add the peppercorns, bay leaves and thyme. Reduce the heat until the mixture is simmering, then continue to simmer gently for 1½ hours.
Meanwhile, for the apple bread sauce, heat the milk in a large saucepan. Stud the onion with 3 of the cloves and add to the hot milk. Stud one of the apples with the remaining 2 cloves and add to the pan along with the cinnamon stick. As the milk starts to bubble, turn off the heat, cover the pan with a lid and leave to infuse for at least 30 minutes. Once infused, discard the apple, onion, cloves and cinnamon stick.
Add the breadcrumbs and butter to the infused milk, stir well and heat gently. Just before serving, grate in the remaining apple and stir in the ground cinnamon.
When the cooking time for the pork ribs has elapsed, remove the ribs and slide the meat from the bone. Chop the meat and return it to the gravy mixture.
To serve, carve the pork belly and arrange the slices onto a serving platter. Serve the rib gravy in a large jug alongside and the apple bread sauce in a large serving bowl. Allow everyone to help themselves.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/roast_pork_belly_with_63768_16x9.jpg
Honey and marmalade-glazed gammon joint,150,20 serving(s),"['6kg/13lb 3½oz gammon joint', 'fresh orange juice, to cover', 'water, to cover', '8 cloves, plus extra for studding the gammon', '2 onions, peeled, halved', '4 large bay leaves', '120g/4oz soft brown sugar', '3 oranges, zest of three, juice of two', '3 tbsp clear honey', '3 heaped tbsp orange marmalade', '3 tbsp wholegrain mustard', 'apple compote', 'pickled red cabbage']","For the gammon, place the gammon into a large, deep pan and cover with water. Bring to the boil, then remove from the heat and drain.
Return the gammon to the pan, then pour in enough orange juice to cover half of the gammon. Pour in enough cold water to cover the gammon completely.
Push two cloves into each onion half and add to the pan along with the bay leaves. Cover with a lid and bring to the boil, then reduce the heat to a simmer. Cook gently for three hours, adding more hot water to the pan as necessary.
Preheat the oven to 180C/360F/Gas 4.
Remove the gammon from the pan and place into a roasting tin. Remove the skin, leaving behind a thin layer of fat. Score the gammon in a diamond pattern with the tip of a sharp knife. Stud the centre of each diamond with a clove.
For the glaze, mix together all of the glaze ingredients in a bowl until well combined. Spoon the glaze evenly over the gammon.
Roast the gammon in the oven for 45 minutes, basting frequently with the glaze and pan juices, until the gammon is cooked through and golden-brown all over.
Set aside to rest, then carve into thick slices to serve. Alternatively, the gammon can be eaten cold. Serve with apple compote and pickled red cabbage.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/honeyandmarmaladegla_93186_16x9.jpg
Honey-glazed gammon,150,10 serving(s),"['2kg/4lb 8oz unsmoked boneless gammon joint, tied', '2 onions, halved', '2 carrots, unpeeled, cut into 5cm/2in pieces', '2 celery stalks, cut into 5cm/2in pieces', '4 bay leaves', '12 black peppercorns', 'small handful cloves', '4 tbsp runny honey', '4 tbsp English mustard']","Place the gammon joint into a large lidded saucepan, cover with cold water and bring to the boil over a high heat. Drain the water from the saucepan, add fresh cold water, the onions, carrots, celery, bay and peppercorns and bring to the boil once more. Reduce the heat, cover with a lid and simmer the gammon and vegetables gently for 20 minutes per 500g/1lb 2oz. (If your pan is not quite large enough to cover the joint completely, turn the gammon over halfway through the cooking time.)
Remove the gammon from the water and set aside to cool for 15 minutes. (The cooking liquid can be strained and reserved for making soup for another time.)
Preheat the oven to 200C/180C Fan/Gas 6 and line a large roasting tin with kitchen foil.
Use a small knife to remove the rind from the gammon joint, leaving as much of the fat intact as possible. Score the fat in a diamond pattern, and push a clove into the centre of each 'X'.
Place the gammon into the foil-lined roasting tray, ensuring that the sides of the foil come halfway up the joint to contain any roasting juices.
For the glaze, mix the honey and mustard together and brush half of it evenly over the gammon, including one side of the joint. Roast in the centre of the oven for 10 minutes, then take the joint out and brush the top and remaining side with the rest of the glaze. Return the gammon to the oven for a further 10– 15 minutes, rotating the tin so that the opposite side of the gammon faces the back of the oven.
The gammon is ready when the fat on top is glossy and golden brown. Cover loosely with foil if the top begins to look too brown. Remove the gammon from the oven and set aside to rest for 15 minutes before carving.
Pour any juices that have collected in the kitchen foil into a small pan, and warm through gently.
Carve the gammon, serve on a large platter and spoon over the warmed juices .",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/traditional_honey-glazed_52289_16x9.jpg
Slow cooked gammon with mustard sauce,150,12 serving(s),"['3kg/6lb 8oz unsmoked gammon joint, off the bone', '600ml/21fl oz ginger beer', '4 pieces stem ginger, finely chopped', '4 tbsp ginger syrup from the jar', '200g/7oz full-fat crème fraîche', '6 tbsp full-fat mayonnaise', '2 tbsp Dijon mustard', '2 tbsp wholegrain mustard', 'pinch caster sugar', 'salt and freshly ground black pepper']","Preheat the oven to 160C/140C Fan/Gas 3.
To make the gammon, put the gammon joint in a saucepan that fits snugly. Pour in the ginger beer and 1.2 litres/2 pints of water or just enough to cover the gammon. Cover with a lid, bring to the boil and boil for a few minutes. Transfer to the oven for about 2½ hours or until cooked through. Alternatively, simmer over a low heat for about 2½ hours.
Increase the oven temperature to 220C/200C Fan/Gas 7.
Remove the gammon joint from the liquid and, using a sharp knife, slice off the skin, just leaving a very thin layer.
Line a roasting tin with kitchen foil, sit the gammon, fatiside up in the tin and wrap the foil around the meat just leaving the top showing. Score the fat and drizzle over the ginger syrup. Scatter over the chopped ginger and press lightly so the top fat is covered.
Bake in the hot oven for about 25 minutes or until golden and glazed on top.
To make the sauce, mix all the ingredients together and season with salt and pepper.
Slice the gammon into thin slices and serve hot or cold with the sauce.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/ginger_gammon_with_92608_16x9.jpg
Christmas roast duck,180,6 serving(s),"['1.5kg/3lb 5oz potatoes, peeled and thinly sliced', '2 onions, thinly sliced', '500ml/18fl oz chicken stock', '1 x 2kg/4lb 8oz whole duck, giblets removed', '1 clementine, cut in half', '1 cinnamon stick', '½ tsp Chinese five-spice powder', '75g/2½oz butter', '1 head Savoy cabbage, leaves shredded', '50g/1¾oz dried cranberries', 'sea salt and freshly ground black pepper', '2 Bramley apples, peeled, cores removed, roughly chopped', '200g/7oz fresh cranberries', '5 tbsp cider', '2-3 tbsp caster sugar, to taste']","Arrange the shelves of your oven so that there is space for the duck at the top and the potatoes on the shelf immediately underneath. Preheat the oven to 180C/160C Fan/Gas 4.
Layer the potatoes and onions in an large roasting dish, seasoning each layer with salt and freshly ground black pepper. Pour over the stock, flattening the top layer down.
Place the potatoes onto the lower shelf in the oven.
Pierce the duck skin all over with a fork and stuff the neck end of the cavity with the satsuma halves and cinnamon stick. Rub the five-spice powder all over the skin and season with salt and freshly ground black pepper.
Place the duck directly onto the oven rack above the potatoes, so that the juices from the duck will drip onto the potatoes as they cook. If your dish with the potatoes is on the small side, it may be useful to put a very large empty tray on the bottom of the oven to catch any drips of fat.
Roast for 1½-2 hours, or until the duck is cooked through and the potatoes are tender and golden-brown.
Meanwhile, for the spiced cranberry apple sauce, bring the apples, cranberries and cider to the boil in a frying pan. Reduce the heat until simmering and simmer for 10 minutes, stirring occasionally, until the cranberries have burst and the mixture has thickened. Season, to taste, with sugar, if too tart, then pour the sauce into a serving bowl and set aside.
When the duck is cooked, remove it from the oven and set aside to rest for 10 minutes on a serving platter while you cook the cabbage.
Pour enough water into the bottom of a large frying pan to reach 1cm/½in up the sides of the pan. Add half of the butter and bring to the boil. When the butter has melted, add the cabbage and boil until it has just wilted, stirring occasionally. Add the dried cranberries and cook for another 1-2 minutes, or until most of the water has evaporated, then season, to taste, with salt and freshly ground black pepper.
To serve, spoon the wilted cabbage (drained, if necessary) onto a serving platter and lay the roast duck on top. Serve the potatoes and sauce alongside.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/christmas_roast_duck_83066_16x9.jpg
Roast goose,150,6 serving(s),"['1 x 5kg/11lb oven-ready goose', '1 onion, peeled and quartered', '3 bay leaves, plus extra for garnish', '3 small red apples (such as Cox or Discovery), cut in half horizontally', 'sea salt flakes', 'freshly ground black pepper', 'goose giblets', '1 onion, chopped', '2 carrots, chopped into 2cm/¾in pieces', '1 celery stick, chopped into roughly 2cm/¾ pieces', '2 bay leaves', 'small bunch fresh thyme', '2 tbsp goose fat (reserved from cooking the goose)', '2 onions, finely chopped', '1 medium-sized cooking apple, peeled, cored and cut into quarters', '1 tsp caster sugar', '1 goose liver (optional)', '100g/3½oz fresh white breadcrumbs', '500g/1lb 2oz good-quality sausage meat', '2 tbsp finely chopped fresh sage leaves, plus extra sage leave to garnish', '2 heaped tbsp plain flour', '300ml/10fl oz giblet stock (from above)', '250ml/9fl oz dry cider']","Preheat the oven to 200C/180C Fan/Gas 6.
Place the goose on a rack over a large sturdy roasting tin and prick with a skewer a few times down each side just below the wing. Season the goose well with salt and freshly ground black pepper.
Put the quartered onion and three bay leavers into the goose body cavity and cover the legs with folded triangles of foil. Roast the goose for one hour, then take it out of the oven and put on a board. Carefully drain the fat from the roasting tin into a large heatproof bowl.
Reduce the oven temperature to 180C/160C Fan/Gas 4.
Cook the goose for another hour, removing the foil after 30 minutes so the legs can brown. (If your goose is very fatty, you may need to remove it from the oven and drain the fat one more time during the last hour of cooking.)
To test when the goose is cooked, pierce the thickest part of the thigh with a skewer, then press the skewer against the leg and check the juices that run out. When the goose is cooked, the juices should run clear.
Remove the goose from the oven and transfer to a warmed serving platter. Cover loosely with foil and a couple of dry tea towels. Leave to rest for 25-30 minutes.
Increase the oven temperature to 200C/180C Fan/Gas 6.
Meanwhile, for the stock and stuffing, separate the liver from the rest of the giblets. Pat dry on kitchen paper and cut into small pieces, discarding any sinew or damaged parts. Put in a small bowl, cover and chill until ready to use.
Put the rest of the giblets into a large saucepan. Add the onion, carrots, celery stick, bay leaves, thyme and season. Pour over 1 litre/1¾ pints water and bring to the boil. Reduce the heat and simmer gently for 1¼ hours. Cover with a lid for the final 30 minutes. Strain through a sieve into a measuring jug.
For the stuffing, heat two tablespoons of the reserved fat in a large non-stick frying pan and fry the onions for five minutes, or until softened and lightly browned, stirring occasionally. Scatter the apple into the pan with the onion and sprinkle with the sugar. Cook for a further 3-4 minutes, or until lightly carameslised. Add the goose liver and fry for a further 1-2 minutes until browned. Place the mixture into a large bowl and set aside to cool.
Stir in the breadcrumbs, sausage meat and sage to the onions, apple and liver once cooked. Season with lots of salt and pepper and mix well. Grease a 20cm/8in square shallow baking tin with a little more of the reserved goose fat. Spoon the stuffing mixture into the tin and spread evenly. Cover and chill until ready to bake.
Place the eating apples alongside the stuffing. Brush the cut-side of each apple with a little more oil. Bake for 20 minutes, or until the stuffing is golden-brown and cooked through.
For the gravy, hold the roasting tin with a dry tea towel at one end, so all the cooking juices run to the corner. Remove as much of the goose fat as possible.
Place the roasting tin over a medium heat and stir in the flour until thoroughly combined. Slowly stir in the cider and the goose stock. Bring to the boil, stirring constantly and scraping up the sediment from the bottom of the pan. Pour into a saucepan and return to a simmer, stirring with a whisk to break up any floury lumps. Cook for 4-5 minutes, stirring occasionally then season with plenty of salt and pepper. Strain though a fine sieve into a warmed jug.
Remove the tea towel and foil from the goose. Place the apples around the goose and garnish with a few sage or bay leaves. Serve the stuffing and gravy with the goose at the table.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/roast_goose_with_apples_74479_16x9.jpg
Porchetta,120,6 serving(s),"['3 tbsp finely chopped rosemary', 'sprig thyme, leaves only, finely chopped', '1 head garlic, peeled and crushed', '1 tbsp fennel seeds, crushed', '1 tsp chilli flakes', '1 lemon, zest only', '50ml/2fl oz wine', '3kg/6lb 8oz piece boned pork loin with belly attached, butterflied, rind scored', '1.5kg/3lb 5oz roasting potatoes, thickly sliced', '1 onion, thickly sliced', '100ml/3½fl oz white wine (or cider)', '100ml/3½fl oz chicken stock (or water)', '2 large Bramley apples, peeled and roughly chopped', '½ tsp ground cinnamon', '¼ tsp ground allspice', '¼ tsp ground cloves', '1 tbsp lemon juice', '2 tbsp light soft brown sugar', '15g/½oz butter']","For the paste filling, either put all the ingredients in a small food processor and blend until well combined (it doesn’t have to be completely smooth), or pound with a pestle and mortar.
Lay the pork out, skin-side down, and rub the paste over the pork, then roll it up as tightly as you can and secure at intervals with butcher’s twine.
If you have time leave in the fridge, uncovered or loosely wrapped in kitchen towel overnight – or even better, for two nights, to give the flavours time to permeate the meat and to let the skin dry out.
An hour before you are ready to start cooking the pork, remove it from the fridge so it can return to room temperature. Preheat the oven to 150C/130C Fan/Gas 2.
Arrange the potatoes and onion slices on the base of a large roasting tin and season with salt. Pour over the white wine (or cider) and stock (or water).
Make sure the rind of the pork is dry and season it with salt. Place on top of the potatoes and onions. Cover with foil and put in the oven. Roast for four hours until the pork is cooked through – the internal temperature should read 68C/154F (use a meat thermometer to check this).
Turn the heat up to its highest setting and cook for a further half an hour to crisp up the skin. Remove from the oven and transfer the meat and potatoes to separate serving dishes. Leave the meat to rest for half an hour, uncovered, but keep the potatoes warm.
To make the spiced apple sauce, put all the ingredients in a saucepan with a splash of water, then cook gently for around 10 minutes, or until the apples have softened and broken down into a purée. Taste and adjust the flavours if necessary – you may need a little more sugar.
To finish the pork, strain off any liquid remaining in the tin and skim off any fat. Serve the juices alongside the meat and potatoes.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/porchetta_53969_16x9.jpg
Salmon en croûte,60,12 serving(s),"['2 medium cucumbers, peeled', '5 tbsp Dijon mustard', '2 tbsp clear honey', '1 tbsp white wine vinegar', '50g/1¾oz fresh dill, finely chopped', 'salt and freshly ground black pepper', '1 x 380g/13oz ready-made puff pastry sheet', 'plain flour, for dusting', '1 x 2.8kg/6lb salmon, skin removed and filleted into 2 pieces', '1 free-range egg, beaten, combined with a little milk']","Preheat the oven to 180C/350F/Gas 4. Line a large baking tray with baking parchment.
Slice the cucumbers lengthways, scrape out the seeds with a teaspoon, and chop into 1cm/½in thick pieces. Place the cucumbers in a mixing bowl with the mustard, honey, vinegar and finely chopped dill. Season well with salt and freshly ground black pepper and set aside.
Roll the pastry out to 40cm/16in x 30cm/12in on a lightly floured surface. Lay on the lined baking tray.
Lay one fillet in the centre of the pastry, pile half of the filling on top and then cover with the second fillet.
Brush the edges of the pastry with the mixture of milk and beaten egg. Fold the pastry over the fish, sealing the edges by pressing them together, leaving a gap in the centre, so that you can see inside. Brush the pastry with more beaten egg and milk and bake for 45 minutes.
Serve with the remaining cucumber mixture.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/salmon_wellington_86468_16x9.jpg
Christmas nut roast with mushroom gravy,30,8 serving(s),"['300g/10½oz spinach or chard leaves', '50g/1¾oz dried cranberries', '50ml/2fl oz oloroso sherry', '1 tbsp olive oil', '15g/½oz butter', '1 onion, finely chopped', '200g/7oz chestnut mushrooms, roughly chopped', '1 large parsnip, coarsely grated (around 250g/9oz)', '2 garlic cloves', '1 tsp dried sage', '1 lemon, zest only', '1 thyme sprig', '150g/5½oz cooked freekah or spelt grains', '100g/3½oz mixed nuts, roughly chopped', '100g/3½oz cooked chestnuts, roughly chopped', '25g/1oz fresh breadcrumbs', '3 free-range eggs', '25g/1oz butter', '1 tbsp olive oil', '15g/½oz butter', '1 shallot, finely chopped', '1 garlic clove', 'few thyme leaves', '250g/9oz chestnut or portobellini mushrooms', '100ml/3½fl oz oloroso sherry', '250ml/9fl oz vegetable stock', '50ml/2fl oz single cream', '250ml/9fl oz cranberries (fresh or frozen)', '100g/3½oz caster sugar', '1 large orange, juice and zest']","Preheat the oven to 200C/180C Fan/Gas 6. Line the loaf tin with baking paper.
Wash the spinach in plenty of water and put into a saucepan. Heat gently until it has wilted down, stirring a couple of times, then drain over a sieve. Leave to cool, then roughly chop.
Put the cranberries into a small saucepan and cover with the sherry. Bring to the boil, remove from the heat and set aside until the cranberries have plumped up and absorbed most of the sherry.
Heat the olive oil and butter in a frying pan. Add the onion and mushrooms and cook over a medium heat until any liquid coming out of the mushrooms has evaporated and the onion has softened. Add the parsnip and continue to cook until the parsnip has reduced in volume and the onion has started to caramelise. Add the garlic, dried sage, thyme and lemon zest, then cook for a couple more minutes. Remove from the heat and allow to cool slightly.
Put the freekah or spelt into a large bowl along with the mixed nuts, chestnuts, breadcrumbs, spinach, cooked vegetables and the eggs. Season well with salt and pepper and mix thoroughly.
Spoon into the lined loaf tin and dot over the butter. Smooth down, but do not pack too tightly. Cover with a layer of greaseproof paper and bake in the oven for about an hour or until piping hot.
Meanwhile, to make the gravy, heat the olive oil and butter in a saucepan. Add the onion and cook for several minutes until starting to caramelise around the edges. Add the mushrooms and cook for 5 minutes, stirring regularly. Add the garlic and thyme season well and continue to cook for a couple of minutes. Turn up the heat and pour in the sherry. Allow to bubble until almost completely evaporated, then add the stock. Simmer, covered, for 10 minutes. Stir in the cream just before serving.
To make the cranberry sauce, put the cranberries into a saucepan with orange juice and zest and the sugar. Gently heat until the sugar has dissolved then turn up the heat and simmer until the cranberries have softened and started to burst. Stir and remove from the heat – you should have a mixture of whole and broken down cranberries. Allow to cool and store in the fridge until needed.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/nut_roast_38249_16x9.jpg
